week,date,area,obs_counts,exp_counts
416,50772.49074792,679,574,367241.51454300014
417,50779.48584047,702,635,386353.2968660808
418,50786.47475694,730,635,437682.4206385778
419,50793.46170865,421,386,281616.58196464105
420,50800.46629198,661,541,492573.57399200037
421,50807.45849471,610,521,394392.63370600075
422,50814.48627878,716,585,260047.1249102
423,50821.46682801,821,760,286645.81080001657
424,50828.49940972,776,699,462572.97789799934
425,50835.51034722,572,539,678102.7570179998
426,50842.50112975,718,631,435634.9752740016
427,50849.48589973,656,583,363252.6725389003
428,50856.47441825,669,555,403332.2097570007
429,50863.55144378,494,419,272441.2498436002
430,50870.46005787,647,519,596981.509177987
431,50877.46559899,918,709,570188.5023280008
432,50884.50224325,784,704,464053.31873496895
433,50891.48349468,675,611,470720.27729800134
434,50898.4997338,794,715,404807.9548500008
435,50905.47301628,747,685,425596.86552249984
436,50912.4605983,531,462,371748.9399798753
437,50919.45918909,727,670,445764.718123
438,50926.45919054,776,631,489355.0884132359
439,50933.50988503,842,728,489681.1825121325
440,50940.50095818,532,447,334151.54807800025
441,50947.49381632,805,714,520626.24895031436
442,50954.48361111,719,614,460642.7967170012
443,50961.4628125,820,682,526390.3150670006
444,50968.48287037,557,496,455566.3149107988
445,50975.48728009,562,533,498024.727586001
446,50982.66751157,591,535,565988.4055370004
447,50989.51179078,764,652,429274.45522676967
448,50996.48896814,1016,868,623059.4205290008
449,51003.47999772,1007,913,544799.1617088006
450,51010.4994669,998,850,625685.5982882021
451,51017.47099757,876,747,675890.5691061406
452,51024.46377315,974,827,650166.8083360005
453,51031.51164256,979,876,421822.509178129
454,51038.49884109,1004,903,584111.043428001
455,51045.46063657,820,714,487740.37850000145
456,51052.47907172,1028,939,645840.112180066
457,51059.46925883,911,791,413675.17623841343
458,51066.47829622,889,793,469775.49320747587
459,51073.47932902,884,749,424530.0193680401
460,51080.46622685,1188,1040,886443.1139223976
461,51087.5023833,1234,1070,1354382.2622724036
462,51094.50056624,894,767,630128.5284844097
463,51101.50637731,741,637,372710.59276999946
464,51108.50554291,837,707,294017.65547659993
465,51115.4633998,739,653,324220.38487059984
466,51122.47003438,1053,912,354082.738388401
467,51129.46047365,1093,968,346431.97805920034
468,51136.49954772,1029,913,278064.3255350065
469,51143.49877584,1063,888,242665.3140609007
470,51150.47425926,908,791,188326.54977670018
471,51157.46127601,997,889,237567.0362728007
472,51164.46915509,1084,945,194693.02397690085
473,51171.49921296,999,901,206903.75585800086
474,51178.49653271,1076,903,211662.40444000077
475,51185.48279259,772,646,191668.0822174001
476,51192.47654267,526,374,221513.20469900005
477,51199.47527697,426,329,121043.1187915
478,51206.5459873,452,383,173284.97293090002
479,51213.50293186,533,454,177835.117698
480,51220.46265417,479,367,202927.0682329
481,51227.4890417,380,326,148975.16000000003
482,51234.46696895,637,486,227465.81526070018
483,51241.46265443,747,582,287656.22507260006
484,51248.46682118,591,532,204275.20000000004
485,51255.47515459,541,432,237567.1034
486,51262.50773411,530,442,196429.78672460007
487,51269.45848669,664,471,270293.7445602752
488,51276.46473823,440,352,172487.07344920005
489,51283.46973522,519,371,187093.10000000003
490,51290.4617956,368,310,134222.468362
491,51297.48999005,507,395,202624.95000000004
492,51304.4841816,264,228,119534.68673360003
493,51311.45987755,455,374,205911.40909080004
494,51318.52168322,589,429,138068.2381820001
495,51325.51144916,517,452,167627.20000000004
496,51332.48210008,412,346,174608.10509150004
497,51339.47202801,441,335,187695.98000000004
498,51346.46895498,468,382,168495.65000000005
499,51353.46392654,451,360,181137.5999800001
500,51360.48626709,992,941,294189.15
501,51367.47170394,931,897,303740.51527379995
502,51374.47168064,449,312,178422.6000000001
503,51381.4682895,391,300,188090.60000000003
504,51388.46473823,416,336,177733.046909
505,51395.4994473,657,450,151686.09962500006
506,51402.47029541,519,411,212186.93232200004
507,51409.47029549,505,408,212777.60509099998
508,51416.46126635,536,435,200841.74691200003
509,51423.49724765,403,301,195549.0870925
510,51430.49251809,398,337,130878.93418219998
511,51437.46849765,554,485,187108.9891021999
512,51444.52239876,404,339,169625.9
513,51451.62991027,403,298,109818.71000000002
514,51458.49321293,459,365,119920.31112500005
515,51465.48071154,628,551,162294.94723859974
516,51472.46265752,572,468,178848.06500000003
517,51479.45918542,572,469,179495.75100360005
518,51486.4779355,463,398,146235.92782960003
519,51493.46960228,61,61,20040.02946399999
520,51500.45833333,0,0,0.0
521,51507.45833333,0,0,0.0
522,51514.45833333,0,0,0.0
523,51521.45833333,0,0,0.0
524,51528.45833333,0,0,0.0
525,51542.38895532,6,6,1140.0
526,51542.49714977,193,179,37195.76764
527,51553.50780865,150,92,41966.2609604815
528,51556.72517126,180,165,75202.49281462037
529,51563.54205718,337,279,173976.439744
530,51570.45989367,239,182,109472.40000000008
531,51577.51641015,394,298,141458.20292
532,51584.47633939,462,346,215920.71129499993
533,51591.45886273,648,464,236963.63985990005
534,51598.50850517,443,338,145340.601118
535,51605.46058858,531,383,166425.86108802247
536,51612.46197612,334,250,148414.21007034875
537,51619.52036716,320,235,146099.7011201949
538,51626.47167497,468,368,162003.67247997396
539,51633.47170008,451,361,186503.07084000023
540,51640.50225575,392,301,167139.04211706668
541,51647.46470752,328,287,134271.65913617652
542,51654.45920038,375,311,154022.38443217924
543,51661.50225602,279,246,152016.8838876615
544,51668.46822836,349,252,240978.76172748714
545,51675.50572844,370,274,170034.16335993266
546,51682.48072855,375,264,139154.36663181428
547,51689.49662902,456,327,188660.8085441361
548,51696.48281207,317,261,148192.40262338953
549,51703.47170108,414,330,163753.62899191125
550,51710.49253307,422,355,139718.1136636628
551,51717.4737583,402,302,142924.49030388205
552,51724.5286458,346,238,141747.84272053433
553,51731.50711814,373,282,115777.76953576598
554,51738.48013642,483,347,142138.3578072301
555,51745.49600718,456,341,163160.00099259353
556,51752.497289,412,318,202028.96183007848
557,51759.50799459,446,290,131627.20142593182
558,51766.4801142,323,279,131218.8122427743
559,51773.45987381,459,343,172804.61619237775
560,51780.48348356,472,325,134210.51193724686
561,51787.46265177,362,293,159411.8230351033
562,51794.50848519,426,301,169493.31750264173
563,51801.47029086,393,342,148407.45881681124
564,51808.48417983,393,300,166986.81727876875
565,51815.47042647,339,243,112527.41017510802
566,51822.580762,266,210,143819.21449496486
567,51829.47237462,546,308,182190.72860641687
568,51836.51612326,436,314,155639.03475181595
569,51843.46364274,311,246,155689.74339226398
570,51850.52845941,117,103,25577.37030468266
571,51857.46227832,526,388,233548.38538123496
572,51864.46473619,469,394,203127.56624184386
573,51871.477254979996,460,343,167066.49175922506
574,51878.50848642,421,294,207267.95966902556
575,51885.47029942,408,322,192959.26088197174
576,51892.5037598,340,253,161266.60426216622
577,51899.46265336,401,326,184316.5891524181
578,51906.49943128,289,235,158632.04096164927
579,51913.67793137,451,314,201648.77603092435
580,51920.48001478,442,317,197000.56933092492
581,51927.46057045,381,248,173295.79910635372
582,51934.47029274,341,255,210400.17959906717
583,51941.47584841,349,302,335278.1001597278
584,51948.46543183,337,281,254255.1802242361
585,51955.45918052,375,283,160042.84067371915
586,51962.53973762,432,297,173961.1274887819
587,51969.50570992,248,217,119563.93888058171
588,51976.46406073,441,354,157379.66742381148
589,51983.46753302,387,284,173997.80707248207
590,51990.5290827,358,267,148765.09516958223
591,51997.48836655,372,308,275790.07251194736
592,52004.46475556,390,336,246405.7657913066
593,52011.46822786,352,289,154667.3668820056
594,52018.49531131,393,316,164103.01833370238
595,52025.5022544,286,236,116558.34662091754
596,52032.4782264,406,334,173441.46204582136
597,52039.4677979,292,262,131541.45134649688
598,52046.4751728,325,244,164827.0
599,52053.48628399,472,401,149724.74000000002
600,52060.45989522,416,363,173808.55
601,52067.46267311,382,338,182860.7
602,52074.49392318,344,287,127989.14000000001
603,52081.47864552,414,342,159455.90999999997
604,52088.47169973,468,373,155774.84
605,52095.46336794,491,389,125905.0
606,52102.47933881,386,302,154830.15977644082
607,52109.49670147,350,276,189332.1070244523
608,52116.49322936,412,343,172629.14823965155
609,52123.46058912,409,326,177935.70564884783
610,52130.4832504,411,294,138361.26872174535
611,52137.470313,406,291,165783.24044650682
612,52144.46524112,485,362,161768.47881509026
613,52151.49531319,395,290,137691.26489534797
614,52158.50156328,365,269,194113.77311850843
615,52165.45850784,614,338,196187.93424146622
616,52172.4869889,432,294,150305.11648008152
617,52179.46198024,502,328,185880.83702454588
618,52186.4745352,390,301,136690.08966299408
619,52193.47309013,529,366,176169.67531989355
620,52200.4955885,478,399,203563.80093041732
621,52207.46198064,387,266,180397.10484572296
622,52214.47378631,360,288,148477.6262070261
623,52221.47378642,363,268,144637.04735992235
624,52228.50018333,375,281,159388.95342273044
625,52235.4709704,379,324,135522.55119976326
626,52242.50935,287,210,125899.44115232193
627,52249.50087014,438,326,168862.20911966937
628,52256.50503689,414,278,158522.95539095975
629,52263.461287,318,217,132882.6835519772
630,52270.47170378,358,252,136364.55420719367
631,52277.48142608,380,264,156496.50614552983
632,52284.50295397,420,319,165242.45791960435
633,52291.50503738,293,268,158488.82641192866
634,52298.4770147,370,286,172843.85817749242
635,52305.4605917,506,315,166133.06486239808
636,52312.47587103,385,250,146059.76879945118
637,52319.48975856,370,263,113916.45222148858
638,52326.46128793,399,300,178350.33139052242
639,52333.62927057,40,32,10650.83267163951
640,52340.45833333,0,0,0.0
641,52347.62728649,1,1,430.0
642,52355.6174955208,93,81,29197.39065567311
643,52361.49602774,199,152,91825.5566590455
644,52368.60943947,200,143,100415.54262344279
645,52375.47172237,232,191,78736.44527885049
646,52382.4688035532,277,210,103671.32348860322
647,52389.49103727,404,270,144673.44541002295
648,52396.4953338,580,370,218134.79349974438
649,52403.4797069444,262,181,137129.25139582084
650,52410.46424282,388,290,227083.76105804057
651,52417.56325231,552,409,260564.42912788788
652,52424.46096065,546,356,256764.839664676
653,52431.46130656,408,322,244313.51870315807
654,52438.46200108,494,381,273746.53410639253
655,52445.47241786,543,438,314999.3324267633
656,52452.46825131,589,412,412360.06988417916
657,52459.48043542,562,399,428084.3896154456
658,52466.4595917824,505,414,240475.78024581156
659,52473.50158495,514,422,269761.0183517768
660,52480.46639028,1173,1048,500874.7607706429
661,52487.466698842596,655,486,308199.8970725163
662,52494.48769401621,677,511,357977.9613728742
663,52501.49071247,607,458,251792.3907291282
664,52508.45991733,587,437,276000.1633074749
665,52515.655229282405,704,432,259113.35972615535
666,52522.47989714,602,449,279936.30479993764
667,52529.47916667,780,589,305045.22895369795
668,52536.4635400463,737,534,356065.57344631903
669,52543.5159126505,572,430,255952.3732079863
670,52550.46032538,361,321,215762.2801573034
671,52557.47143519,514,423,227599.9880285152
672,52564.46825297,562,460,279131.9322917674
673,52571.4771713,584,446,249070.04050107187
674,52578.4954730671,638,482,428296.4642605329
675,52585.46061439,736,553,446441.372566176
676,52592.46513889,727,545,456634.4001305129
677,52599.46200347,614,421,373729.55937344825
678,52606.4591309028,338,266,233496.62858587393
679,52613.46194444,605,456,389927.81250280776
680,52620.46130934,629,479,361007.34215952817
681,52627.4786453704,559,376,321465.4967027317
682,52634.48547334,604,406,301012.36043080565
683,52641.5292361111,587,445,340116.2288585131
684,52648.46240725694,670,505,368680.5718600591
685,52655.5210411,603,423,303357.11518762604
686,52662.4647798264,235,183,203852.91182763936
687,52669.47424749,579,434,288805.4058341526
688,52676.56562454,455,331,269521.64299966744
689,52683.4592131597,549,396,356222.43370921945
690,52690.4986924421,516,375,264962.7362882818
691,52697.4682294792,578,442,338436.2714700322
692,52704.4946439,627,475,232720.04224900305
693,52711.48873113,608,453,277684.3485105983
694,52718.4808916,573,387,261147.2196426433
695,52725.4621303588,563,424,269269.8761444785
696,52732.4657304051,607,447,331193.7658750322
697,52739.46135520833,381,269,245477.78591998538
